id,title,normalized_title,dblp_key,publication_type,year,journal,booktitle,volume,number,pages,publisher,series,editor,url,doi,ee,biburl,bibsource,abstract,keywords,timestamp,citation_count,has_faculty_author,author_count,source_pid,source_pids,created_at,updated_at
11,"Two evolutionary approaches with objective-specific variation operators
for vehicle routing problem with time windows and quality of service
objectives",two evolutionary approaches with objectivespecific variation operators for vehicle routing problem with time windows and quality of service objectives,DBLP:journals/asc/SrivastavaS23,article,2023,Appl. Soft Comput.,,134,,109964,,,,https://doi.org/10.1016/j.asoc.2022.109964,10.1016/J.ASOC.2022.109964,,https://dblp.org/rec/journals/asc/SrivastavaS23.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 28 Mar 2023 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.410785,2026-01-31 22:35:55.414186
12,"An evolutionary approach comprising tailor-made variation operators
for rescue unit allocation and scheduling with fuzzy processing times",an evolutionary approach comprising tailormade variation operators for rescue unit allocation and scheduling with fuzzy processing times,DBLP:journals/eaai/0002023,article,2023,Eng. Appl. Artif. Intell.,,123,Part A,106246,,,,https://doi.org/10.1016/j.engappai.2023.106246,10.1016/J.ENGAPPAI.2023.106246,,https://dblp.org/rec/journals/eaai/0002023.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 14 Oct 2023 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.418875,2026-01-31 22:35:55.426228
13,"Two heuristic approaches for clustered traveling salesman problem
with \emphd-relaxed priority rule",two heuristic approaches for clustered traveling salesman problem with emphdrelaxed priority rule,DBLP:journals/eswa/DasariS23,article,2023,Expert Syst. Appl.,,224,,120003,,,,https://doi.org/10.1016/j.eswa.2023.120003,10.1016/J.ESWA.2023.120003,,https://dblp.org/rec/journals/eswa/DasariS23.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 02 Jun 2023 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.426747,2026-01-31 22:35:55.432342
14,Evolutionary approaches for the weighted anti-covering location problem,evolutionary approaches for the weighted anticovering location problem,DBLP:journals/evi/ChappidiS23,article,2023,Evol. Intell.,,16,3,891--901,,,,https://doi.org/10.1007/s12065-022-00701-6,10.1007/S12065-022-00701-6,,https://dblp.org/rec/journals/evi/ChappidiS23.bib,"dblp computer science bibliography, https://dblp.org",,,"Mon, 26 Jun 2023 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.432645,2026-01-31 22:35:55.438606
15,"Intelligent Optimization Algorithms for Disruptive Anti-covering Location
Problem",intelligent optimization algorithms for disruptive anticovering location problem,DBLP:conf/icdcit/ChappidiSM23,conference,2023,,"Distributed Computing and Intelligent Technology - 19th International
Conference, ICDCIT 2023, Bhubaneswar, India, January 18-22, 2023,
Proceedings",13776,,165--180,Springer,Lecture Notes in Computer Science,"Anisur Rahaman Molla, Gokarna Sharma, Pradeep Kumar, Sanjay Rawat",https://doi.org/10.1007/978-3-031-24848-1_12,10.1007/978-3-031-24848-1_12,,https://dblp.org/rec/conf/icdcit/ChappidiSM23.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 31 Jan 2023 00:00:00 +0100",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.439339,2026-01-31 22:35:55.443970
16,Heuristics for K-Independent Average Traveling Salesperson Problem,heuristics for kindependent average traveling salesperson problem,DBLP:conf/miwai/MajumderS23,conference,2023,,"Multi-disciplinary Trends in Artificial Intelligence - 16th International
Conference, MIWAI 2023, Hyderabad, India, July 21-22, 2023, Proceedings",14078,,25--35,Springer,Lecture Notes in Computer Science,"Morusupalli Raghava, Teja Santosh Dandibhotla, Vani Vathsala Atluri, David Windridge, Pawan Lingras, Venkateswara Rao Komati",https://doi.org/10.1007/978-3-031-36402-0_2,10.1007/978-3-031-36402-0_2,,https://dblp.org/rec/conf/miwai/MajumderS23.bib,"dblp computer science bibliography, https://dblp.org",,,"Wed, 06 Mar 2024 15:26:23 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.453455,2026-01-31 22:35:55.459538
17,"An evolutionary approach for obnoxious cooperative maximum covering
location problem",an evolutionary approach for obnoxious cooperative maximum covering location problem,DBLP:journals/apin/ChappidiS22,article,2022,Appl. Intell.,,52,14,16651--16666,,,,https://doi.org/10.1007/s10489-022-03239-3,10.1007/S10489-022-03239-3,,https://dblp.org/rec/journals/apin/ChappidiS22.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 21 Mar 2023 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.459883,2026-01-31 22:35:55.465799
18,"Swarm intelligence, exact and matheuristic approaches for minimum
weight directed dominating set problem",swarm intelligence exact and matheuristic approaches for minimum weight directed dominating set problem,DBLP:journals/eaai/Nakkala0R22,article,2022,Eng. Appl. Artif. Intell.,,109,,104647,,,,https://doi.org/10.1016/j.engappai.2021.104647,10.1016/J.ENGAPPAI.2021.104647,,https://dblp.org/rec/journals/eaai/Nakkala0R22.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 15 Mar 2022 00:00:00 +0100",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.466113,2026-01-31 22:35:55.469361
19,"Multi-start iterated local search, exact and matheuristic approaches
for minimum capacitated dominating set problem",multistart iterated local search exact and matheuristic approaches for minimum capacitated dominating set problem,DBLP:journals/asc/NakkalaSR21,article,2021,Appl. Soft Comput.,,108,,107437,,,,https://doi.org/10.1016/j.asoc.2021.107437,10.1016/J.ASOC.2021.107437,,https://dblp.org/rec/journals/asc/NakkalaSR21.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 13 Jul 2021 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.478806,2026-01-31 22:35:55.490919
20,"NSGA-II with objective-specific variation operators for multiobjective
vehicle routing problem with time windows",nsgaii with objectivespecific variation operators for multiobjective vehicle routing problem with time windows,DBLP:journals/eswa/SrivastavaSM21,article,2021,Expert Syst. Appl.,,176,,114779,,,,https://doi.org/10.1016/j.eswa.2021.114779,10.1016/J.ESWA.2021.114779,,https://dblp.org/rec/journals/eswa/SrivastavaSM21.bib,"dblp computer science bibliography, https://dblp.org",,,"Mon, 03 Jan 2022 00:00:00 +0100",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.491462,2026-01-31 22:35:55.497308
21,"Focus distance-aware lifetime maximization of video camera-based wireless
sensor networks",focus distanceaware lifetime maximization of video camerabased wireless sensor networks,DBLP:journals/heuristics/RossiSS21,article,2021,J. Heuristics,,27,1-2,5--30,,,,https://doi.org/10.1007/s10732-019-09428-7,10.1007/S10732-019-09428-7,,https://dblp.org/rec/journals/heuristics/RossiSS21.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 25 May 2021 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.509251,2026-01-31 22:35:55.518052
22,"A simple hyper-heuristic approach for a variant of many-to-many hub
location-routing problem",a simple hyperheuristic approach for a variant of manytomany hub locationrouting problem,DBLP:journals/heuristics/PandiriS21,article,2021,J. Heuristics,,27,5,791--868,,,,https://doi.org/10.1007/s10732-021-09477-x,10.1007/S10732-021-09477-X,,https://dblp.org/rec/journals/heuristics/PandiriS21.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 12 Aug 2021 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.526952,2026-01-31 22:35:55.533807
23,Multi-start heuristics for the profitable tour problem,multistart heuristics for the profitable tour problem,DBLP:journals/swevo/DasariPS21,article,2021,Swarm Evol. Comput.,,64,,100897,,,,https://doi.org/10.1016/j.swevo.2021.100897,10.1016/J.SWEVO.2021.100897,,https://dblp.org/rec/journals/swevo/DasariPS21.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 02 Oct 2022 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.534304,2026-01-31 22:35:55.536472
24,"A Hybrid Discrete Differential Evolution Approach for the Single Machine
Total Stepwise Tardiness Problem with Release Dates",a hybrid discrete differential evolution approach for the single machine total stepwise tardiness problem with release dates,DBLP:conf/cec/00020M21,conference,2021,,"IEEE Congress on Evolutionary Computation, CEC 2021, Kraków,
Poland, June 28 - July 1, 2021",,,652--659,IEEE,,,https://doi.org/10.1109/CEC45853.2021.9504914,10.1109/CEC45853.2021.9504914,,https://dblp.org/rec/conf/cec/00020M21.bib,"dblp computer science bibliography, https://dblp.org",,,"Mon, 03 Jan 2022 00:00:00 +0100",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.546872,2026-01-31 22:35:55.570784
25,"An evolution strategy based approach for cover scheduling problem
in wireless sensor networks",an evolution strategy based approach for cover scheduling problem in wireless sensor networks,DBLP:journals/mlc/SrivastavaVS20,article,2020,Int. J. Mach. Learn. Cybern.,,11,9,1981--2006,,,,https://doi.org/10.1007/s13042-020-01088-5,10.1007/S13042-020-01088-5,,https://dblp.org/rec/journals/mlc/SrivastavaVS20.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 05 Sep 2020 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.572433,2026-01-31 22:35:55.585738
26,Two hybrid metaheuristic approaches for the covering salesman problem,two hybrid metaheuristic approaches for the covering salesman problem,DBLP:journals/nca/PandiriSR20,article,2020,Neural Comput. Appl.,,32,19,15643--15663,,,,https://doi.org/10.1007/s00521-020-04898-4,10.1007/S00521-020-04898-4,,https://dblp.org/rec/journals/nca/PandiriSR20.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 20 Oct 2020 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.609540,2026-01-31 22:35:55.619880
27,"An artificial bee colony algorithm with variable degree of perturbation
for the generalized covering traveling salesman problem",an artificial bee colony algorithm with variable degree of perturbation for the generalized covering traveling salesman problem,DBLP:journals/asc/PandiriS19,article,2019,Appl. Soft Comput.,,78,,481--495,,,,https://doi.org/10.1016/j.asoc.2019.03.001,10.1016/J.ASOC.2019.03.001,,https://dblp.org/rec/journals/asc/PandiriS19.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.629346,2026-01-31 22:35:55.636091
28,"A Multi-Start Iterated Local Search Algorithm for the Maximum Scatter
Traveling Salesman Problem",a multistart iterated local search algorithm for the maximum scatter traveling salesman problem,DBLP:conf/cec/Venkatesh0M19,conference,2019,,"IEEE Congress on Evolutionary Computation, CEC 2019, Wellington,
New Zealand, June 10-13, 2019",,,1390--1397,IEEE,,,https://doi.org/10.1109/CEC.2019.8790018,10.1109/CEC.2019.8790018,,https://dblp.org/rec/conf/cec/Venkatesh0M19.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 27 Dec 2019 00:00:00 +0100",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.636604,2026-01-31 22:35:55.640960
29,"An Evolutionary Approach to Multi-point Relays Selection in Mobile
Ad Hoc Networks",an evolutionary approach to multipoint relays selection in mobile ad hoc networks,DBLP:conf/premi/SinghB19,conference,2019,,"Pattern Recognition and Machine Intelligence - 8th International Conference,
PReMI 2019, Tezpur, India, December 17-20, 2019, Proceedings, Part
I",11941,,375--384,Springer,Lecture Notes in Computer Science,"Bhabesh Deka, Pradipta Maji, Sushmita Mitra, Dhruba Kumar Bhattacharyya, Prabin Kumar Bora, Sankar Kumar Pal",https://doi.org/10.1007/978-3-030-34869-4_41,10.1007/978-3-030-34869-4_41,,https://dblp.org/rec/conf/premi/SinghB19.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 19 Dec 2019 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1;05/2858,2026-01-31 22:35:55.647786,2026-01-31 22:35:55.650789
30,A swarm intelligence approach for the colored traveling salesman problem,a swarm intelligence approach for the colored traveling salesman problem,DBLP:journals/apin/PandiriS18,article,2018,Appl. Intell.,,48,11,4412--4428,,,,https://doi.org/10.1007/s10489-018-1216-0,10.1007/S10489-018-1216-0,,https://dblp.org/rec/journals/apin/PandiriS18.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 27 Dec 2019 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.654785,2026-01-31 22:35:55.659981
31,"Boosting an evolution strategy with a preprocessing step: application
to group scheduling problem in directional sensor networks",boosting an evolution strategy with a preprocessing step application to group scheduling problem in directional sensor networks,DBLP:journals/apin/SrivastavaS18,article,2018,Appl. Intell.,,48,12,4760--4774,,,,https://doi.org/10.1007/s10489-018-1252-9,10.1007/S10489-018-1252-9,,https://dblp.org/rec/journals/apin/SrivastavaS18.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.660283,2026-01-31 22:35:55.665934
32,"A hyper-heuristic based artificial bee colony algorithm for \emphk-Interconnected
multi-depot multi-traveling salesman problem",a hyperheuristic based artificial bee colony algorithm for emphkinterconnected multidepot multitraveling salesman problem,DBLP:journals/isci/PandiriS18,article,2018,Inf. Sci.,,463-464,,261--281,,,,https://doi.org/10.1016/j.ins.2018.06.027,10.1016/J.INS.2018.06.027,,https://dblp.org/rec/journals/isci/PandiriS18.bib,"dblp computer science bibliography, https://dblp.org",,,"Sun, 19 Jan 2025 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.666487,2026-01-31 22:35:55.672016
33,Two swarm intelligence approaches for tuning extreme learning machine,two swarm intelligence approaches for tuning extreme learning machine,DBLP:journals/mlc/AlshamiriSS18,article,2018,Int. J. Mach. Learn. Cybern.,,9,8,1271--1283,,,,https://doi.org/10.1007/s13042-017-0642-3,10.1007/S13042-017-0642-3,,https://dblp.org/rec/journals/mlc/AlshamiriSS18.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 07 May 2024 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1;50/1424,2026-01-31 22:35:55.672324,2026-01-31 22:35:55.676693
34,"Properties and Exact Solution Approaches for the Minimum Cost Dominating
Tree Problem",properties and exact solution approaches for the minimum cost dominating tree problem,DBLP:conf/icdcit/Rossi0018,conference,2018,,"Distributed Computing and Internet Technology - 14th International
Conference, ICDCIT 2018, Bhubaneswar, India, January 11-13, 2018,
Proceedings",10722,,3--26,Springer,Lecture Notes in Computer Science,"Atul Negi, Raj Bhatnagar, Laxmi Parida",https://doi.org/10.1007/978-3-319-72344-0_1,10.1007/978-3-319-72344-0_1,,https://dblp.org/rec/conf/icdcit/Rossi0018.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 19 Oct 2019 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.685757,2026-01-31 22:35:55.691169
35,Two grouping-based metaheuristics for clique partitioning problem,two groupingbased metaheuristics for clique partitioning problem,DBLP:journals/apin/SundarS17,article,2017,Appl. Intell.,,47,2,430--442,,,,https://doi.org/10.1007/s10489-017-0904-5,10.1007/S10489-017-0904-5,,https://dblp.org/rec/journals/apin/SundarS17.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 14 Oct 2021 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.697719,2026-01-31 22:35:55.702828
36,"Hybrid artificial bee colony algorithm based approaches for two ring
loading problems",hybrid artificial bee colony algorithm based approaches for two ring loading problems,DBLP:journals/apin/SinghB17,article,2017,Appl. Intell.,,47,4,1157--1168,,,,https://doi.org/10.1007/s10489-017-0950-z,10.1007/S10489-017-0950-Z,,https://dblp.org/rec/journals/apin/SinghB17.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 19 Oct 2019 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.703088,2026-01-31 22:35:55.706740
37,"Hybrid evolutionary approaches for the single machine order acceptance
and scheduling problem",hybrid evolutionary approaches for the single machine order acceptance and scheduling problem,DBLP:journals/asc/Chaurasia017,article,2017,Appl. Soft Comput.,,52,,725--747,,,,https://doi.org/10.1016/j.asoc.2016.09.051,10.1016/J.ASOC.2016.09.051,,https://dblp.org/rec/journals/asc/Chaurasia017.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 19 Oct 2019 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.711909,2026-01-31 22:35:55.714969
38,Heuristics for lifetime maximization in camera sensor networks,heuristics for lifetime maximization in camera sensor networks,DBLP:journals/isci/SinghRS17,article,2017,Inf. Sci.,,385,,475--491,,,,https://doi.org/10.1016/j.ins.2017.01.017,10.1016/J.INS.2017.01.017,,https://dblp.org/rec/journals/isci/SinghRS17.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 19 Oct 2019 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.719807,2026-01-31 22:35:55.729996
39,"A hybrid artificial bee colony algorithm for the cooperative maximum
covering location problem",a hybrid artificial bee colony algorithm for the cooperative maximum covering location problem,DBLP:journals/mlc/BandaS17,article,2017,Int. J. Mach. Learn. Cybern.,,8,2,691--697,,,,https://doi.org/10.1007/s13042-015-0466-y,10.1007/S13042-015-0466-Y,,https://dblp.org/rec/journals/mlc/BandaS17.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 25 Aug 2020 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.730439,2026-01-31 22:35:55.737526
40,"Hybrid metaheuristic approaches for the single machine total stepwise
tardiness problem with release dates",hybrid metaheuristic approaches for the single machine total stepwise tardiness problem with release dates,DBLP:journals/or/ChaurasiaSS17,article,2017,Oper. Res.,,17,1,275--295,,,,https://doi.org/10.1007/s12351-016-0225-1,10.1007/S12351-016-0225-1,,https://dblp.org/rec/journals/or/ChaurasiaSS17.bib,"dblp computer science bibliography, https://dblp.org",,,"Thu, 09 Jul 2020 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1,2026-01-31 22:35:55.738008,2026-01-31 22:35:55.740387
41,"Swarm intelligence approaches for multidepot salesmen problems with
load balancing",swarm intelligence approaches for multidepot salesmen problems with load balancing,DBLP:journals/apin/PandiriS16,article,2016,Appl. Intell.,,44,4,849--861,,,,https://doi.org/10.1007/s10489-015-0730-6,10.1007/S10489-015-0730-6,,https://dblp.org/rec/journals/apin/PandiriS16.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 27 Dec 2019 00:00:00 +0100",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.748267,2026-01-31 22:35:55.754426
42,A swarm intelligence approach for the p-median problem,a swarm intelligence approach for the pmedian problem,DBLP:journals/ijmheur/BandaS16,article,2016,Int. J. Metaheuristics,,5,2,136--155,,,,https://doi.org/10.1504/IJMHEUR.2016.10001089,10.1504/IJMHEUR.2016.10001089,,https://dblp.org/rec/journals/ijmheur/BandaS16.bib,"dblp computer science bibliography, https://dblp.org",,,"Tue, 01 Sep 2020 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.754989,2026-01-31 22:35:55.761316
43,A hybrid heuristic for dominating tree problem,a hybrid heuristic for dominating tree problem,DBLP:journals/soco/Chaurasia016,article,2016,Soft Comput.,,20,1,377--397,,,,https://doi.org/10.1007/s00500-014-1513-4,10.1007/S00500-014-1513-4,,https://dblp.org/rec/journals/soco/Chaurasia016.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 19 Oct 2019 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.761798,2026-01-31 22:35:55.767031
44,"Artificial bee colony algorithm for clustering: an extreme learning
approach",artificial bee colony algorithm for clustering an extreme learning approach,DBLP:journals/soco/Alshamiri0S16,article,2016,Soft Comput.,,20,8,3163--3176,,,,https://doi.org/10.1007/s00500-015-1686-5,10.1007/S00500-015-1686-5,,https://dblp.org/rec/journals/soco/Alshamiri0S16.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 19 Oct 2019 01:00:00 +0200",0,True,3,01/1744-1,01/1744-1;50/1424,2026-01-31 22:35:55.767319,2026-01-31 22:35:55.777185
45,Comparative analysis of ELM and No-Prop algorithms,comparative analysis of elm and noprop algorithms,DBLP:conf/ic3/Alshamiri0S16,conference,2016,,"Ninth International Conference on Contemporary Computing, IC3 2016,
Noida, India, August 11-13, 2016",,,1--5,IEEE Computer Society,,"Sanjay Goel, Dheeraj Sanghi, Albert Y. Zomaya, Azzedine Boukerche, Ratan K. Ghosh, Manoj Singh Gaur, Rahul Banerjee, Vikas Saxena",https://doi.org/10.1109/IC3.2016.7880217,10.1109/IC3.2016.7880217,,https://dblp.org/rec/conf/ic3/Alshamiri0S16.bib,"dblp computer science bibliography, https://dblp.org",,,"Fri, 24 Mar 2023 00:00:00 +0100",0,True,3,01/1744-1,01/1744-1;50/1424,2026-01-31 22:35:55.777665,2026-01-31 22:35:55.786438
46,"A hybrid evolutionary algorithm with guided mutation for minimum weight
dominating set",a hybrid evolutionary algorithm with guided mutation for minimum weight dominating set,DBLP:journals/apin/Chaurasia015,article,2015,Appl. Intell.,,43,3,512--529,,,,https://doi.org/10.1007/s10489-015-0654-1,10.1007/S10489-015-0654-1,,https://dblp.org/rec/journals/apin/Chaurasia015.bib,"dblp computer science bibliography, https://dblp.org",,,"Sat, 19 Oct 2019 01:00:00 +0200",0,True,2,01/1744-1,01/1744-1,2026-01-31 22:35:55.786759,2026-01-31 22:35:55.791626
